Year,Week,Beat,District
2023,20,2524,25.0
2022,36,1114,11.0
2023,2,1225,12.0
2020,37,1523,15.0
2019,22,1212,12.0
2023,13,724,7.0
2022,8,711,7.0
2019,1,322,3.0
2019,29,2234,22.0
2020,44,211,2.0
2022,43,222,2.0
2023,4,614,6.0
2021,36,121,1.0
2019,16,2525,25.0
2022,12,2223,22.0
2023,12,1722,17.0
2020,44,1914,19.0
2019,45,113,1.0
2021,10,121,1.0
2019,5,614,6.0
2022,39,212,2.0
2019,39,122,1.0
2022,20,623,6.0
2022,17,324,3.0
2019,43,834,8.0
2021,24,1235,12.0
2021,6,1621,16.0
2023,43,2232,22.0
2023,21,1611,16.0
2022,44,2515,25.0
2023,33,1931,19.0
2021,24,1224,12.0
2023,35,235,2.0
2020,43,914,9.0
2023,16,433,4.0
2023,17,1933,19.0
2019,11,333,3.0
2021,28,1935,19.0
2023,22,1713,17.0
2022,50,1612,16.0
2020,31,1121,11.0
2020,50,623,6.0
2022,8,713,7.0
2022,10,2433,24.0
2020,2,1653,16.0
2019,14,323,3.0
2021,21,1414,14.0
2021,42,333,3.0
2022,50,921,9.0
2022,6,2514,25.0
2019,48,424,4.0
2020,38,434,4.0
2020,38,1123,11.0
2022,2,132,1.0
2019,7,1214,12.0
2019,11,121,1.0
2023,6,224,2.0
2021,16,2525,25.0
2021,35,2531,25.0
2019,48,1132,11.0
2019,24,1112,11.0
2019,22,1411,14.0
2019,15,431,4.0
2020,53,533,5.0
2023,30,2024,20.0
2020,21,1023,10.0
2020,5,1135,11.0
2020,39,2022,20.0
2020,23,1532,15.0
2023,7,233,2.0
2021,42,1632,16.0
2020,36,324,3.0
2020,26,2533,25.0
2022,35,131,1.0
2020,48,2411,24.0
2020,4,1524,15.0
2021,40,235,2.0
2022,2,2524,25.0
2021,15,1522,15.0
2021,16,1724,17.0
2019,40,1821,18.0
2023,33,424,4.0
2020,2,2413,24.0
2022,26,221,2.0
2022,42,1033,10.0
2023,5,914,9.0
2019,12,1231,12.0
2020,30,223,2.0
2020,14,1613,16.0
2023,8,2031,20.0
2020,10,222,2.0
2023,37,1421,14.0
2022,24,124,1.0
2022,23,832,8.0
2022,47,1235,12.0
2021,1,1122,11.0
2022,19,1211,12.0
2023,35,1932,19.0
2023,44,523,5.0
2021,15,1433,14.0
2019,8,1424,14.0
2020,2,1114,11.0
2022,48,2023,20.0
2022,47,2031,20.0
2023,13,1924,19.0
2020,4,1911,19.0
2022,28,1411,14.0
2020,15,814,8.0
2021,30,124,1.0
2023,43,2012,20.0
2023,22,831,8.0
2023,1,1614,16.0
2021,14,911,9.0
2023,21,1011,10.0
2020,24,2431,24.0
2019,21,933,9.0
2023,23,231,2.0
2022,29,923,9.0
2019,21,1821,18.0
2022,21,1931,19.0
2023,28,1913,19.0
2019,13,214,2.0
2023,44,1233,12.0
2021,3,1135,11.0
2019,30,231,2.0
2022,10,131,1.0
2023,9,1512,15.0
2023,41,2424,24.0
2019,15,713,7.0
2021,23,2531,25.0
2023,39,1722,17.0
2020,48,1422,14.0
2022,32,631,6.0
2020,46,1913,19.0
2021,40,1633,16.0
2020,5,726,7.0
2023,34,1652,16.0
2022,17,1923,19.0
2020,40,2524,25.0
2022,5,1915,19.0
2022,37,1414,14.0
2022,30,812,8.0
2022,10,2011,20.0
2023,18,522,5.0
2020,49,1711,17.0
2020,45,221,2.0
2023,9,2524,25.0
2020,44,1225,12.0
2019,3,1655,16.0
2020,6,1124,11.0
2021,48,1533,15.0
2023,21,1621,16.0
2020,34,2023,20.0
2019,32,833,8.0
2019,25,231,2.0
2020,26,622,6.0
2019,12,612,6.0
2022,50,1722,17.0
2023,37,1413,14.0
2022,49,622,6.0
2020,25,2413,24.0
2021,1,2023,20.0
2021,53,1432,14.0
2020,22,1732,17.0
2021,49,821,8.0
2021,13,1611,16.0
2021,22,1121,11.0
2020,35,522,5.0
2021,16,1723,17.0
2019,36,1931,19.0
2022,1,113,1.0
2019,14,1732,17.0
2021,32,2213,22.0
2021,21,1731,17.0
2021,41,1911,19.0
2019,10,1832,18.0
2021,6,623,6.0
2019,37,2024,20.0
2022,2,912,9.0
2019,29,932,9.0
2020,2,112,1.0
2021,49,2222,22.0
2020,50,523,5.0
2019,26,1211,12.0
2019,8,214,2.0
2021,28,322,3.0
2021,28,1821,18.0
2020,36,1113,11.0
2021,23,113,1.0
2020,45,722,7.0
2021,7,1922,19.0
2020,27,834,8.0
2022,28,2233,22.0
2019,12,1012,10.0
2022,30,1121,11.0
2021,13,1022,10.0
2019,31,1533,15.0
2023,7,1022,10.0
2020,46,2513,25.0
2021,29,531,5.0
2022,17,713,7.0
2019,38,935,9.0
2020,30,1622,16.0
2023,13,2535,25.0
2019,34,934,9.0
2020,19,611,6.0
2023,12,224,2.0
2022,5,235,2.0
2023,13,221,2.0
2019,28,624,6.0
2023,15,1132,11.0
2023,13,2511,25.0
2019,24,631,6.0
2022,13,611,6.0
2022,2,2513,25.0
2019,37,1622,16.0
2023,8,2022,20.0
2019,41,621,6.0
2021,48,513,5.0
2022,41,631,6.0
2022,14,1121,11.0
2019,41,334,3.0
2019,45,725,7.0
2023,30,1921,19.0
2019,17,1215,12.0
2020,38,824,8.0
2020,51,2032,20.0
2023,38,1925,19.0
2021,19,821,8.0
2019,35,2511,25.0
2021,19,924,9.0
2019,38,1831,18.0
2020,52,1133,11.0
2020,32,735,7.0
2019,2,2412,24.0
2020,9,714,7.0
2022,30,1411,14.0
2022,10,1124,11.0
2021,46,1111,11.0
2020,48,111,1.0
2021,8,835,8.0
2019,28,1612,16.0
2019,42,2012,20.0
2021,43,1231,12.0
2019,14,523,5.0
2023,45,1931,19.0
2022,42,524,5.0
2020,12,933,9.0
2021,21,1234,12.0
2023,52,2221,22.0
2020,45,1634,16.0
2019,32,812,8.0
2019,10,112,1.0
2019,5,815,8.0
2020,46,424,4.0
2021,24,423,4.0
2020,19,622,6.0
2021,38,832,8.0
2022,49,1135,11.0
2020,45,1711,17.0
2019,30,1011,10.0
2021,6,1211,12.0
2021,16,215,2.0
2023,16,2222,22.0
2020,35,1231,12.0
2020,21,1031,10.0
2021,36,313,3.0
2020,48,1933,19.0
2020,38,2431,24.0
2022,48,731,7.0
2020,49,222,2.0
2022,49,424,4.0
2020,5,934,9.0
2023,29,2412,24.0
2019,6,2515,25.0
2019,51,215,2.0
2020,20,414,4.0
2022,1,2433,24.0
2023,24,2212,22.0
2019,39,2212,22.0
2022,39,1712,17.0
2020,37,911,9.0
2023,45,1424,14.0
2020,28,314,3.0
2020,42,1623,16.0
2019,40,723,7.0
2019,27,1922,19.0
2022,43,1112,11.0
2023,41,1934,19.0
2021,8,1431,14.0
2022,50,1611,16.0
2022,20,1633,16.0
2022,12,2512,25.0
2021,42,824,8.0
2020,27,533,5.0
2022,26,2011,20.0
2020,32,1614,16.0
2021,17,2213,22.0
2020,20,1824,18.0
2020,11,424,4.0
2023,31,613,6.0
2020,31,711,7.0
2023,26,314,3.0
2021,12,432,4.0
2019,27,1524,15.0
2022,38,1012,10.0
2022,3,1434,14.0
2020,36,815,8.0
2022,1,1713,17.0
2021,12,621,6.0
2022,6,1121,11.0
2021,5,124,1.0
2021,44,915,9.0
2019,35,215,2.0
2023,9,131,1.0
2023,36,835,8.0
2019,12,235,2.0
2023,20,714,7.0
2019,44,832,8.0
2020,31,1911,19.0
2023,3,114,1.0
2023,16,1925,19.0
2020,29,212,2.0
2019,34,424,4.0
2022,15,1712,17.0
2023,2,1651,16.0
2023,30,232,2.0
2021,28,1423,14.0
2020,43,1931,19.0
2022,33,623,6.0
2022,32,2514,25.0
2021,27,1532,15.0
2022,27,1532,15.0
2022,50,1032,10.0
2022,1,1031,10.0
2019,14,512,5.0
2021,39,823,8.0
2020,50,732,7.0
2021,16,524,5.0
2021,45,1231,12.0
2023,18,1235,12.0
2019,10,2532,25.0
2021,44,832,8.0
2023,8,413,4.0
2021,10,632,6.0
2019,10,1414,14.0
2022,32,1712,17.0
2021,15,1424,14.0
2021,7,923,9.0
2019,33,813,8.0
2022,8,433,4.0
2019,3,2522,25.0
2021,48,1431,14.0
2021,10,2024,20.0
2019,20,1224,12.0
2022,45,533,5.0
2021,44,522,5.0
2020,18,1921,19.0
2021,46,2515,25.0
2021,23,531,5.0
2021,1,323,3.0
2022,8,512,5.0
2019,31,922,9.0
2019,36,1432,14.0
2019,9,231,2.0
2020,33,815,8.0
2021,27,532,5.0
2020,34,632,6.0
2020,27,235,2.0
2022,41,1412,14.0
2020,48,413,4.0
2021,20,121,1.0
2021,2,1611,16.0
2021,33,1911,19.0
2023,18,1612,16.0
2021,34,2413,24.0
2023,25,1651,16.0
2019,28,1224,12.0
2021,26,711,7.0
2021,24,722,7.0
2021,46,2535,25.0
2020,29,614,6.0
2022,15,512,5.0
2023,45,922,9.0
2021,47,1831,18.0
2021,39,1115,11.0
2022,32,523,5.0
2022,3,1723,17.0
2022,37,1112,11.0
2023,18,1215,12.0
2020,30,2023,20.0
2023,36,1623,16.0
2021,12,715,7.0
2022,39,714,7.0
2020,44,2212,22.0
2021,10,1912,19.0
2019,6,434,4.0
2022,18,831,8.0
2021,36,632,6.0
2019,41,1225,12.0
2019,46,1422,14.0
2023,31,1024,10.0
2020,29,512,5.0
2019,32,1412,14.0
2022,31,223,2.0
2021,48,1652,16.0
2019,13,1722,17.0
2019,32,432,4.0
2021,9,1932,19.0
2022,23,933,9.0
2023,22,432,4.0
2020,39,631,6.0
2021,14,931,9.0
2022,25,512,5.0
2023,7,724,7.0
2019,50,1222,12.0
2022,32,1031,10.0
2023,31,1722,17.0
2021,46,911,9.0
2023,4,1122,11.0
2020,49,832,8.0
2023,15,1215,12.0
2020,4,1213,12.0
2021,36,2031,20.0
2023,8,422,4.0
2019,31,132,1.0
2023,36,632,6.0
2020,13,811,8.0
2021,28,2432,24.0
2023,25,2512,25.0
2019,23,1651,16.0
2019,37,1433,14.0
2022,12,2024,20.0
2019,30,1225,12.0
2019,13,633,6.0
2021,44,2513,25.0
2019,34,1811,18.0
2022,34,532,5.0
2021,10,732,7.0
2021,27,1033,10.0
2023,9,214,2.0
2020,18,812,8.0
2022,51,312,3.0
2022,39,1033,10.0
2022,16,512,5.0
2020,27,2211,22.0
2022,13,1634,16.0
2020,53,531,5.0
2020,32,1921,19.0
2020,26,2023,20.0
2020,17,1532,15.0
2021,14,332,3.0
2020,43,211,2.0
2021,17,1423,14.0
2020,52,2413,24.0
2021,13,1031,10.0
2020,2,2012,20.0
2022,6,1424,14.0
2019,16,1432,14.0
2021,9,211,2.0
2021,29,334,3.0
2022,48,411,4.0
2019,35,214,2.0
2021,37,735,7.0
2021,7,1651,16.0
2023,25,712,7.0
2023,36,1524,15.0
2019,18,1832,18.0
2021,21,2514,25.0
2019,21,2532,25.0
2019,1,1832,18.0
2022,38,211,2.0
2019,19,933,9.0
2020,6,1623,16.0
2019,51,1523,15.0
2020,52,124,1.0
2020,12,2524,25.0
2019,8,732,7.0
2023,19,1123,11.0
2019,17,614,6.0
2022,26,332,3.0
2019,20,422,4.0
2023,32,1221,12.0
2023,45,2233,22.0
2020,20,632,6.0
2021,8,1214,12.0
2019,26,333,3.0
2023,28,1223,12.0
2021,14,1834,18.0
2019,25,2031,20.0
2019,25,2535,25.0
2022,15,2535,25.0
2019,20,912,9.0
2020,25,2213,22.0
2021,20,1811,18.0
2019,33,431,4.0
2020,24,1125,11.0
2020,4,923,9.0
2020,35,1624,16.0
2020,17,815,8.0
2019,23,2024,20.0
2021,23,2513,25.0
2019,31,1113,11.0
2022,12,934,9.0
2022,43,722,7.0
2022,28,2432,24.0
2020,3,1933,19.0
2022,7,2515,25.0
2020,47,825,8.0
2020,23,323,3.0
2020,53,1832,18.0
2020,37,1711,17.0
2021,27,1533,15.0
2020,20,131,1.0
2019,23,1653,16.0
2019,1,434,4.0
2020,47,1614,16.0
2022,47,2022,20.0
2020,48,112,1.0
2022,36,1232,12.0
2021,44,1512,15.0
2023,6,1821,18.0
2021,20,522,5.0
2019,30,731,7.0
2019,46,2531,25.0
2020,19,1523,15.0
2019,9,1215,12.0
2023,42,1915,19.0
2020,44,1431,14.0
2020,19,113,1.0
2023,18,1932,19.0
2020,14,912,9.0
2020,34,633,6.0
2021,10,2525,25.0
2022,20,2513,25.0
2022,35,1731,17.0
2023,26,214,2.0
2022,34,2213,22.0
2021,37,222,2.0
2020,40,1713,17.0
2023,38,1722,17.0
2021,34,221,2.0
2021,11,912,9.0
2022,44,1923,19.0
2019,48,2011,20.0
2023,3,1112,11.0
2022,24,724,7.0
2022,39,1624,16.0
2019,2,1213,12.0
2020,52,2024,20.0
2023,44,1412,14.0
2020,18,1532,15.0
2020,30,313,3.0
2020,18,2433,24.0
2023,10,1011,10.0
2020,39,1653,16.0
2022,6,2532,25.0
2019,26,1813,18.0
2020,49,2033,20.0
2020,52,1713,17.0
2020,39,232,2.0
2019,43,1934,19.0
2020,2,1011,10.0
2023,8,714,7.0
2020,19,2512,25.0
2022,12,2431,24.0
2023,24,1132,11.0
2019,12,2022,20.0
2021,47,1934,19.0
2020,47,1932,19.0
2021,26,2031,20.0
2021,15,823,8.0
2020,46,314,3.0
2022,47,823,8.0
2023,27,1114,11.0
2020,5,522,5.0
2019,14,1524,15.0
2023,35,1712,17.0
2019,35,1623,16.0
2022,4,531,5.0
2020,47,2211,22.0
2022,26,1224,12.0
2021,6,1915,19.0
2022,52,433,4.0
2021,47,931,9.0
2019,35,222,2.0
2019,24,133,1.0
2021,39,1214,12.0
2019,27,233,2.0
2019,46,1832,18.0
2022,43,725,7.0
2023,21,2525,25.0
2021,35,1221,12.0
2023,23,431,4.0
2020,42,2515,25.0
2019,14,922,9.0
2019,36,1414,14.0
2019,39,621,6.0
2021,44,733,7.0
2023,44,915,9.0
2020,28,1232,12.0
2019,31,1112,11.0
2020,1,512,5.0
2020,31,714,7.0
2023,41,613,6.0
2020,23,1823,18.0
2021,26,1833,18.0
2019,19,1115,11.0
2019,18,212,2.0
2021,33,1234,12.0
2022,40,922,9.0
2019,46,1224,12.0
2019,43,2222,22.0
2019,52,613,6.0
2020,46,1711,17.0
2021,43,1121,11.0
2019,8,333,3.0
2020,3,1511,15.0
2020,41,434,4.0
2022,1,612,6.0
2022,28,311,3.0
2021,31,1613,16.0
2019,23,1014,10.0
2022,24,2213,22.0
2022,28,2514,25.0
2020,13,1711,17.0
2020,7,634,6.0
2021,23,1722,17.0
2020,36,1732,17.0
2020,17,1114,11.0
2022,51,1654,16.0
2020,30,1921,19.0
2020,22,1533,15.0
2020,31,1225,12.0
2019,14,812,8.0
2020,32,1831,18.0
2019,27,1111,11.0
2021,39,1834,18.0
2023,1,1034,10.0
2023,15,2522,25.0
2021,52,611,6.0
2019,41,1713,17.0
2023,28,1523,15.0
2021,10,825,8.0
2019,26,822,8.0
2022,35,1213,12.0
2019,10,1922,19.0
2019,26,723,7.0
2019,44,831,8.0
2021,47,814,8.0
2019,11,621,6.0
2021,27,924,9.0
2023,43,2222,22.0
2023,7,1921,19.0
2021,17,915,9.0
2022,41,915,9.0
2021,26,2524,25.0
2019,14,1812,18.0
2023,35,2232,22.0
2020,5,1423,14.0
2021,2,1924,19.0
2019,38,1634,16.0
2021,29,1024,10.0
2022,20,2233,22.0
2022,30,233,2.0
2021,34,2233,22.0
2021,42,1511,15.0
2022,40,1431,14.0
2022,36,332,3.0
2021,7,1011,10.0
2019,22,714,7.0
2021,18,2532,25.0
2019,7,311,3.0
2022,29,311,3.0
2022,13,724,7.0
2021,6,1422,14.0
2022,25,2013,20.0
2021,19,1922,19.0
2022,25,522,5.0
2022,33,613,6.0
2020,30,1821,18.0
2019,48,831,8.0
2019,18,2523,25.0
2020,30,2412,24.0
2020,46,333,3.0
2020,45,912,9.0
2022,11,1014,10.0
2020,10,1434,14.0
2021,51,122,1.0
2023,32,611,6.0
2019,13,2514,25.0
2022,5,414,4.0
2020,11,913,9.0
2022,5,231,2.0
2020,47,1021,10.0
2019,13,1733,17.0
2021,45,1234,12.0
2022,10,2211,22.0
2020,17,2431,24.0
2020,41,923,9.0
2022,42,413,4.0
2020,17,223,2.0
2023,5,212,2.0
2019,2,726,7.0
2021,28,1523,15.0
2021,12,231,2.0
2019,49,1222,12.0
2022,3,724,7.0
2023,22,832,8.0
2023,27,1212,12.0
2021,46,233,2.0
2023,38,532,5.0
2022,2,1611,16.0
2023,26,1723,17.0
2020,52,214,2.0
2021,22,421,4.0
2021,53,215,2.0
2021,26,1131,11.0
2023,27,811,8.0
2023,45,613,6.0
2019,8,1922,19.0
2023,35,2532,25.0
2021,10,2523,25.0
2023,5,221,2.0
2021,25,1522,15.0
2020,1,1813,18.0
2020,49,722,7.0
2021,37,2423,24.0
2023,36,424,4.0
2021,37,214,2.0
2019,37,1122,11.0
2021,3,331,3.0
2022,8,622,6.0
2019,21,1831,18.0
2021,23,1424,14.0
2020,21,1613,16.0
2021,11,731,7.0
2022,35,322,3.0
2019,52,225,2.0
2023,22,1033,10.0
2021,6,1934,19.0
2022,35,733,7.0
2021,10,2411,24.0
2021,1,2513,25.0
2019,28,1912,19.0
2023,32,1732,17.0
2019,1,111,1.0
2023,33,1011,10.0
2023,39,314,3.0
2020,20,922,9.0
2020,47,225,2.0
2020,19,2513,25.0
2023,14,1834,18.0
2020,2,1121,11.0
2020,16,613,6.0
2019,40,815,8.0
2022,48,1225,12.0
2022,16,1833,18.0
2022,30,1432,14.0
2022,16,233,2.0
2023,11,412,4.0
2021,20,913,9.0
2023,8,1621,16.0
2022,29,1925,19.0
2022,15,1912,19.0
2021,34,1612,16.0
2021,11,111,1.0
2020,35,1932,19.0
2022,6,2212,22.0
2023,32,914,9.0
2019,37,414,4.0
2023,42,634,6.0
2019,43,223,2.0
2020,49,1434,14.0
2021,4,2233,22.0
2021,25,133,1.0
2023,12,124,1.0
2023,28,1411,14.0
2020,22,913,9.0
2023,1,1115,11.0
2022,16,2512,25.0
2020,14,2433,24.0
2020,18,2511,25.0
2019,35,434,4.0
2019,4,324,3.0
2020,17,1023,10.0
2022,42,1014,10.0
2022,1,1421,14.0
2021,26,911,9.0
2020,13,2432,24.0
2021,45,532,5.0
2021,27,1623,16.0
2021,5,815,8.0
2019,12,1414,14.0
2023,26,1424,14.0
2022,1,224,2.0
2021,49,1633,16.0
2020,30,1212,12.0
2019,33,2213,22.0
2022,35,835,8.0
2021,47,1012,10.0
2019,38,715,7.0
2023,18,1431,14.0
2020,27,1231,12.0
2023,18,314,3.0
2023,25,1031,10.0
2023,25,1033,10.0
2021,13,1834,18.0
2022,34,1622,16.0
2019,27,513,5.0
2021,44,715,7.0
2022,48,1713,17.0
2019,51,632,6.0
2022,21,235,2.0
2020,45,734,7.0
2020,46,1431,14.0
2019,40,1124,11.0
2019,18,1533,15.0
2022,38,2424,24.0
2023,9,2011,20.0
2021,29,822,8.0
2020,13,1621,16.0
2021,11,726,7.0
2020,15,1812,18.0
2021,20,323,3.0
2021,10,413,4.0
2020,36,1614,16.0
2021,43,2524,25.0
2020,2,1134,11.0
2020,14,723,7.0
2020,47,624,6.0
2020,52,333,3.0
2019,24,531,5.0
2021,14,1633,16.0
2019,20,1833,18.0
2022,41,432,4.0
2021,9,2524,25.0
2021,3,1024,10.0
2020,24,1821,18.0
2023,14,1032,10.0
2020,42,1911,19.0
2020,53,2211,22.0
2021,45,1115,11.0
2022,27,1915,19.0
2023,27,1434,14.0
2020,34,825,8.0
2021,18,833,8.0
2020,46,2413,24.0
2022,10,2513,25.0
2020,42,225,2.0
2019,5,825,8.0
2019,33,2521,25.0
2021,33,1032,10.0
2021,52,1111,11.0
2019,15,732,7.0
2023,17,921,9.0
2019,23,224,2.0
2020,23,1224,12.0
2021,16,531,5.0
2022,49,2033,20.0
2019,22,1114,11.0
2020,32,1413,14.0
2023,36,1935,19.0
2021,52,411,4.0
2023,5,1523,15.0
2022,9,634,6.0
2020,10,311,3.0
2019,34,1633,16.0
2021,16,523,5.0
2022,30,1932,19.0
2019,43,1123,11.0
2022,38,1215,12.0
2021,40,1925,19.0
2020,6,123,1.0
2023,16,1813,18.0
2021,47,421,4.0
2020,47,714,7.0
2021,4,824,8.0
2019,44,2422,24.0
2021,53,122,1.0
2020,50,1834,18.0
2021,52,1433,14.0
2019,26,1622,16.0
2022,44,913,9.0
2022,17,314,3.0
2021,45,311,3.0
2022,19,123,1.0
2020,43,411,4.0
2021,42,911,9.0
2023,44,2033,20.0
2020,36,912,9.0
2021,22,1922,19.0
2022,33,1814,18.0
2020,8,1034,10.0
2019,18,713,7.0
2022,27,1424,14.0
2022,6,732,7.0
2023,13,2524,25.0
2022,50,823,8.0
2022,29,933,9.0
2019,44,2234,22.0
2023,52,1013,10.0
2022,11,2011,20.0
2019,25,1621,16.0
2020,49,2024,20.0
2022,30,2031,20.0
2022,2,1934,19.0
2022,7,1022,10.0
2023,29,2514,25.0
2022,37,1814,18.0
2022,4,1512,15.0
2019,23,2213,22.0
2019,11,726,7.0
2023,30,1813,18.0
2022,2,925,9.0
2023,18,1223,12.0
2022,18,814,8.0
2021,4,422,4.0
2023,36,1032,10.0
2019,17,1413,14.0
2022,9,1831,18.0
2023,6,433,4.0
2019,21,1433,14.0
2023,25,724,7.0
2023,25,2524,25.0
2022,45,1831,18.0
2019,28,1732,17.0
2023,17,233,2.0
2023,10,432,4.0
2022,8,2512,25.0
2019,19,112,1.0
2021,14,413,4.0
2023,43,1215,12.0
2021,8,712,7.0
2019,31,1421,14.0
2019,49,522,5.0
2023,7,833,8.0
2023,29,1024,10.0
2020,8,1234,12.0
2020,5,214,2.0
2019,38,1133,11.0
2022,28,614,6.0
2020,16,1622,16.0
2020,53,2523,25.0
2019,11,2422,24.0
2021,42,2211,22.0
2020,48,1621,16.0
2019,9,312,3.0
2023,44,1652,16.0
2023,30,1512,15.0
2021,44,1652,16.0
2021,18,2525,25.0
2023,41,1925,19.0
2021,6,324,3.0
2020,19,2412,24.0
2022,14,411,4.0
2022,42,532,5.0
2021,12,1821,18.0
2022,23,2534,25.0
2021,32,1623,16.0
2022,21,1113,11.0
2022,2,432,4.0
2019,20,331,3.0
2023,16,215,2.0
2019,1,423,4.0
2020,14,114,1.0
2020,30,432,4.0
2023,40,923,9.0
2020,21,714,7.0
2019,40,1213,12.0
2019,46,224,2.0
2021,46,1623,16.0
2020,16,1915,19.0
2022,35,633,6.0
2022,10,823,8.0
2020,13,1511,15.0
2021,45,121,1.0
2019,32,731,7.0
2020,16,1823,18.0
2022,46,632,6.0
2019,36,1934,19.0
2022,45,1022,10.0
2020,18,414,4.0
2019,9,1833,18.0
2019,42,2433,24.0
2021,24,2023,20.0
2022,11,734,7.0
2022,35,1622,16.0
2020,16,714,7.0
2023,39,133,1.0
2021,36,712,7.0
2020,3,815,8.0
2020,20,1134,11.0
2020,46,921,9.0
2022,40,224,2.0
2023,24,1235,12.0
2022,27,2422,24.0
2022,31,132,1.0
2023,3,1654,16.0
2023,35,1032,10.0
2020,8,713,7.0
2019,10,1423,14.0
2022,1,2211,22.0
2022,2,833,8.0
2021,38,1822,18.0
2022,33,1654,16.0
2023,15,1632,16.0
2023,10,1631,16.0
2022,52,1123,11.0
2023,32,1434,14.0
2020,41,1114,11.0
2019,36,421,4.0
2022,44,314,3.0
2021,50,222,2.0
2019,50,2525,25.0
2021,50,612,6.0
2019,8,2514,25.0
2022,41,1033,10.0
2020,40,1014,10.0
2020,23,1223,12.0
2021,20,1013,10.0
2020,49,1723,17.0
2022,13,1621,16.0
2022,9,234,2.0
2022,22,422,4.0
2021,26,224,2.0
2021,27,1024,10.0
2023,3,622,6.0
2023,5,1023,10.0
2021,50,1913,19.0
2021,19,915,9.0
2022,15,1934,19.0
2021,29,1111,11.0
2019,9,211,2.0
2019,2,2212,22.0
2020,22,1022,10.0
2020,9,2032,20.0
2023,33,1115,11.0
2021,32,111,1.0
2021,35,1631,16.0
2022,17,723,7.0
2020,2,421,4.0
2022,34,323,3.0
2023,40,911,9.0
2023,31,112,1.0
2021,22,312,3.0
2023,31,1650,16.0
2019,16,212,2.0
2023,14,1131,11.0
2021,22,1813,18.0
2022,32,113,1.0
2019,17,1513,15.0
2020,37,1221,12.0
2022,47,1122,11.0
2021,49,322,3.0
2021,28,1111,11.0
2019,44,1924,19.0
2021,45,313,3.0
2019,23,1214,12.0
2020,35,1235,12.0
2022,40,1823,18.0
2021,39,2531,25.0
2019,50,1232,12.0
2019,6,1221,12.0
2023,18,1021,10.0
2020,6,1732,17.0
2022,50,822,8.0
2020,41,1531,15.0
2019,18,223,2.0
2022,43,424,4.0
2020,29,915,9.0
2023,18,1913,19.0
2023,31,1653,16.0
2020,24,621,6.0
2021,9,923,9.0
2019,8,612,6.0
2023,36,523,5.0
2020,6,522,5.0
2020,2,622,6.0
2023,8,823,8.0
2020,31,1713,17.0
2021,6,1723,17.0
2021,22,2531,25.0
2020,41,2514,25.0
2021,52,1813,18.0
2022,19,1234,12.0
2021,27,1712,17.0
2022,30,432,4.0
2020,42,1423,14.0
2019,3,924,9.0
2022,33,2423,24.0
2022,15,1013,10.0
2019,43,113,1.0
2022,11,2211,22.0
2021,11,2233,22.0
2022,8,1732,17.0
2022,37,114,1.0
2023,12,915,9.0
2019,42,1434,14.0
2022,14,321,3.0
2023,30,2521,25.0
2022,1,1434,14.0
2019,12,2234,22.0
2021,7,1522,15.0
2021,35,1932,19.0
2020,4,2233,22.0
2023,28,111,1.0
2020,31,2432,24.0
2021,33,723,7.0
2020,1,221,2.0
2023,38,2221,22.0
2023,8,1631,16.0
2019,23,1421,14.0
2020,26,915,9.0
2021,14,331,3.0
2019,33,1411,14.0
2019,38,1621,16.0
2020,3,2423,24.0
2019,1,411,4.0
2021,17,1213,12.0
2020,45,1135,11.0
2020,47,122,1.0
2023,27,223,2.0
2023,24,2535,25.0
2022,13,2213,22.0
2021,31,713,7.0
2023,42,1834,18.0
2022,30,131,1.0
2019,28,631,6.0
2019,46,1412,14.0
2021,47,614,6.0
2019,24,2532,25.0
2019,29,1932,19.0
2022,19,632,6.0
2019,42,132,1.0
2020,27,1023,10.0
2019,1,714,7.0
2019,2,421,4.0
2023,36,1512,15.0
2022,32,614,6.0
2019,18,1011,10.0
2021,14,221,2.0
2021,18,1011,10.0
2023,24,2411,24.0
2023,33,1732,17.0
2021,27,523,5.0
2022,4,422,4.0
2020,19,632,6.0
2019,29,1223,12.0
2023,24,124,1.0
2022,11,735,7.0
2023,22,2012,20.0
2019,46,512,5.0
2023,21,311,3.0
2021,30,1811,18.0
2020,8,1232,12.0
2020,17,214,2.0
2021,22,1231,12.0
2023,36,1414,14.0
2021,32,2511,25.0
2023,34,332,3.0
2022,9,1134,11.0
2020,49,1814,18.0
2019,3,2013,20.0
2021,24,1032,10.0
2022,8,2212,22.0
2021,19,2423,24.0
2021,53,1115,11.0
2020,47,1723,17.0
2019,39,2023,20.0
2020,27,523,5.0
2023,33,1034,10.0
2019,9,712,7.0
2019,37,2213,22.0
2023,29,431,4.0
2022,40,423,4.0
2022,38,234,2.0
2022,25,1113,11.0
2023,13,1224,12.0
2022,21,334,3.0
2023,28,1123,11.0
2020,31,2232,22.0
2022,41,1114,11.0
2020,10,232,2.0
2022,41,1522,15.0
2020,43,522,5.0
2021,25,1523,15.0
2021,31,1214,12.0
2021,8,2432,24.0
2021,5,1422,14.0
2020,31,522,5.0
2023,35,824,8.0
2023,4,622,6.0
2020,31,2011,20.0
2020,23,1432,14.0
2021,39,1824,18.0
2019,42,1013,10.0
2020,22,1824,18.0
2019,6,815,8.0
2019,23,935,9.0
2020,35,1723,17.0
2022,25,1614,16.0
2022,35,1422,14.0
2022,25,1214,12.0
2020,35,1021,10.0
2020,26,1512,15.0
2022,27,713,7.0
2020,3,433,4.0
